iter	Passed	Remaining
401	17954	26709
402	17999	26664
403	18034	26605
404	18079	26561
405	18138	26537
406	18205	26525
407	18261	26497
408	18300	26444
409	18369	26434
410	18406	26377
411	18443	26321
412	18490	26280
413	18538	26240
414	18585	26199
415	18643	26172
416	18691	26132
417	18735	26085
418	18784	26047
419	18822	25992
420	18872	25955
421	18909	25900
422	18943	25840
423	18982	25787
424	19049	25772
425	19091	25723
426	19134	25677
427	19175	25627
428	19215	25576
429	19254	25523
430	19291	25468
431	19340	25429
432	19375	25371
433	19416	25322
434	19453	25267
435	19491	25213
436	19545	25180
437	19586	25131
438	19631	25086
439	19670	25035
440	19717	24993
441	19758	24943
442	19802	24898
443	19850	24858
444	19895	24813
445	19944	24773
446	19993	24735
447	20032	24682
448	20083	24645
449	20133	24607
450	20189	24575
451	20244	24544
452	20288	24498
453	20326	24445
454	20361	24388
455	20418	24358
456	20469	24321
457	20516	24279
458	20556	24229
459	20598	24180
460	20641	24133
461	20684	24087
462	20730	24044
463	20769	23991
464	20804	23936
465	20841	23882
466	20883	23834
467	20926	23787
468	20978	23751
469	21019	23702
470	21066	23660
471	21120	23626
472	21167	23584
473	21212	23539
474	21256	23494
475	21301	23449
476	21347	23405
477	21392	23361
478	21434	23313
479	21488	23279
480	21536	23238
481	21577	23189
482	21634	23157
483	21685	23118
484	21731	23076
485	21773	23027
486	21845	23011
487	21885	22961
488	21929	22915
489	21974	22871
490	22023	22830
491	22070	22788
492	22111	22739
493	22164	22702
494	22210	22659
495	22246	22604
496	22281	22550
497	22321	22500
498	22375	22465
499	22420	22420
500	22486	22396
501	22529	22350
502	22580	22310
503	22625	22265
504	22669	22220
505	22718	22179
506	22767	22138
507	22818	22099
508	22863	22055
509	22905	22007
510	22940	21952
511	22978	21901
512	23026	21859
513	23076	21819
514	23121	21774
515	23160	21724
516	23212	21685
517	23260	21644
518	23308	21601
519	23348	21552
520	23389	21503
521	23426	21451
522	23463	21399
523	23503	21350
524	23551	21308
525	23595	21262
526	23631	21210
527	23672	21161
528	23713	21113
529	23766	21076
530	23814	21033
531	23858	20988
532	23907	20946
533	23949	20899
534	23997	20857
535	24039	20810
536	24081	20762
537	24136	20727
538	24188	20687
539	24226	20637
540	24261	20584
541	24307	20540
542	24341	20486
543	24383	20438
544	24422	20389
545	24458	20337
546	24508	20297
547	24548	20248
548	24589	20200
549	24631	20153
550	24675	20108
551	24722	20064
552	24771	20023
553	24814	19976
554	24860	19932
555	24901	19885
556	24940	19835
557	24984	19790
558	25023	19740
559	25062	19691
560	25109	19648
561	25152	19602
562	25203	19563
563	25246	19516
564	25292	19473
565	25339	19429
566	25381	19382
567	25433	19343
568	25476	19297
569	25513	19246
570	25568	19210
571	25612	19164
572	25661	19122
573	25708	19079
574	25750	19033
575	25801	18992
576	25851	18951
577	25896	18907
578	25945	18865
579	25990	18820
580	26031	18773
581	26068	18722
582	26113	18678
583	26171	18643
584	26210	18593
585	26252	18547
586	26291	18498
587	26328	18447
588	26370	18401
589	26418	18358
590	26460	18312
591	26496	18261
592	26538	18214
593	26585	18171
594	26633	18128
595	26677	18083
596	26719	18036
597	26769	17995
598	26814	17950
599	26849	17899
600	26896	17856
601	26932	17806
602	26987	17767
603	27024	17717
604	27066	17671
605	27104	17622
606	27144	17574
607	27190	17530
608	27227	17480
609	27261	17429
610	27303	17382
611	27347	17337
612	27389	17291
613	27430	17244
614	27467	17195
615	27513	17151
616	27557	17106
617	27599	17059
618	27634	17009
619	27677	16963
620	27729	16923
621	27777	16880
622	27817	16833
623	27861	16788
624	27906	16744
625	27944	16695
626	27988	16650
627	28032	16605
628	28067	16554
629	28110	16509
630	28159	16467
631	28201	16420
632	28238	16371
633	28289	16331
634	28334	16286
635	28373	16238
636	28415	16192
637	28460	16148
638	28506	16104
639	28544	16056
640	28602	16019
641	28641	15971
642	28688	15927
643	28734	15884
644	28780	15840
645	28828	15797
646	28871	15752
647	28918	15708
648	28968	15667
649	29015	15623
650	29063	15581
651	29120	15542
652	29165	15498
653	29200	15448
654	29244	15403
655	29294	15361
656	29333	15314
657	29368	15264
658	29409	15217
659	29444	15168
660	29488	15123
661	29527	15076
662	29565	15027
663	29610	14983
664	29646	14934
665	29687	14888
666	29723	14839
667	29763	14792
668	29806	14747
669	29853	14703
670	29901	14661
671	29946	14616
672	29994	14573
673	30053	14536
674	30090	14487
675	30133	14442
676	30174	14396
677	30214	14349
678	30257	14304
679	30297	14257
680	30335	14209
681	30379	14165
682	30423	14120
683	30470	14076
684	30517	14033
685	30566	13991
686	30608	13945
687	30673	13910
688	30723	13867
689	30765	13822
690	30830	13786
691	30874	13741
692	30922	13698
693	30963	13652
694	31009	13608
695	31055	13564
696	31105	13522
697	31153	13478
698	31193	13432
699	31235	13386
700	31272	13338
701	31317	13294
702	31360	13248
703	31400	13202
704	31440	13155
705	31475	13107
706	31514	13060
707	31561	13016
708	31607	12972
709	31656	12930
710	31694	12882
711	31743	12840
712	31779	12792
713	31820	12745
714	31862	12700
715	31914	12658
716	31957	12613
717	32003	12569
718	32057	12528
719	32107	12486
720	32158	12444
721	32203	12399
722	32250	12355
723	32297	12312
724	32347	12269
725	32387	12223
726	32433	12179
727	32483	12136
728	32521	12089
729	32574	12047
730	32611	12000
731	32649	11953
732	32695	11909
733	32730	11861
734	32771	11815
735	32820	11772
736	32856	11724
737	32899	11679
738	32935	11632
739	32975	11585
740	33020	11541
741	33058	11494
742	33098	11448
743	33147	11405
744	33190	11360
745	33237	11316
746	33280	11271
747	33317	11224
748	33360	11179
749	33426	11142
750	33469	11097
751	33515	11052
752	33560	11008
753	33604	10963
754	33642	10917
755	33680	10870
756	33724	10825
757	33772	10782
758	33818	10738
759	33856	10691
760	33897	10645
761	33937	10600
762	33980	10554
763	34020	10509
764	34068	10465
765	34113	10421
766	34157	10376
767	34203	10332
768	34239	10285
769	34279	10239
770	34326	10195
771	34374	10151
772	34412	10105
773	34463	10063
774	34500	10016
775	34535	9968
776	34572	9922
777	34625	9880
778	34660	9833
779	34711	9790
780	34759	9746
781	34806	9702
782	34843	9656
783	34885	9611
784	34928	9566
785	34973	9522
786	35011	9475
787	35052	9430
788	35100	9386
789	35151	9344
790	35193	9298
791	35241	9255
792	35289	9211
793	35329	9166
794	35365	9119
795	35406	9073
796	35452	9030
797	35497	8985
798	35549	8942
799	35590	8897
800	35641	8854
801	35682	8809
802	35719	8763
803	35762	8718
804	35800	8672
805	35841	8626
806	35877	8580
807	35928	8537
808	35965	8491
809	36004	8445
810	36040	8399
811	36086	8355
812	36126	8309
813	36175	8266
814	36224	8222
815	36268	8178
816	36312	8133
817	36348	8087
818	36392	8042
819	36436	7998
820	36497	7957
821	36544	7913
822	36590	7869
823	36628	7823
824	36672	7779
825	36714	7734
826	36757	7689
827	36806	7645
828	36852	7601
829	36900	7558
830	36947	7514
831	36993	7469
832	37038	7425
