iter	Logloss
0	0.5826974911
1	0.5009974931
2	0.4397091894
3	0.3981731695
4	0.363636131
5	0.3393245268
6	0.3198043258
7	0.3049464704
8	0.292333105
9	0.2831950649
10	0.2752960192
11	0.2686630612
12	0.2638201523
13	0.2602023432
14	0.2575487755
15	0.2552162302
16	0.252869785
17	0.2507169232
18	0.2493234852
19	0.2482306517
20	0.2472112712
21	0.2462134703
22	0.2451860168
23	0.2438910562
24	0.2430673023
25	0.2425993469
26	0.2417843322
27	0.2412615782
28	0.2405948154
29	0.2401459736
30	0.2399267921
31	0.2395982073
32	0.2394431254
33	0.2392411513
34	0.2389649002
35	0.2387208793
36	0.2385566897
37	0.2384469021
38	0.2381366561
39	0.238015763
40	0.2379232171
41	0.2377465932
42	0.2374833384
43	0.2373965115
44	0.2372508019
45	0.2371553935
46	0.2369587335
47	0.2368857638
48	0.2368163744
49	0.2367366982
50	0.2365721157
51	0.2363854729
52	0.236260312
53	0.2361596592
54	0.2359927704
55	0.2358631221
56	0.2358146416
57	0.2356748744
58	0.235574295
59	0.2354734738
60	0.2353716708
61	0.2353173348
62	0.2352690297
63	0.2351958207
64	0.2350969066
65	0.2350529918
66	0.2349885409
67	0.2348856768
68	0.2347887433
69	0.2347371688
70	0.2346790324
71	0.2346349121
72	0.2345999139
73	0.2345537606
74	0.2345107063
75	0.2344625057
76	0.2344134939
77	0.2343420449
78	0.2342921016
79	0.2342380697
80	0.2342024359
81	0.234147556
82	0.2341001747
83	0.2340559232
84	0.2339779674
85	0.2339044421
86	0.2338643075
87	0.2338145878
88	0.2337805502
89	0.2337466275
90	0.2337080336
91	0.2336683378
92	0.2336200355
93	0.2335724394
94	0.233536983
95	0.2334932581
96	0.2334475611
97	0.2333934453
98	0.2333599239
99	0.2333182871
100	0.2332738125
101	0.2332209379
102	0.23317602
103	0.2331362332
104	0.2331202967
105	0.233067468
106	0.2330374075
107	0.2329824918
108	0.2329315818
109	0.2328783685
110	0.2328385576
111	0.2327988932
112	0.2327612775
113	0.2327278073
114	0.232689661
115	0.2326579056
116	0.2326154234
117	0.2325494254
118	0.2324980001
119	0.2324630983
120	0.2324097877
121	0.2323726578
122	0.2323291606
123	0.2323021816
124	0.2322625326
125	0.2322147991
126	0.2321823618
127	0.2321465421
128	0.2320840718
129	0.2320554452
130	0.2320076918
131	0.2319695765
132	0.2319191615
133	0.2318938361
134	0.2318446721
135	0.2318108626
136	0.2317751564
137	0.2317420399
138	0.2317045051
139	0.2316604872
140	0.2316214044
141	0.23156684
142	0.2315195374
143	0.2314901169
144	0.2314617984
